* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2022-12-02 15:11:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\Acer_12.01_plate8.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-12-01 16:01:20 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	NOAMP	THOLDFAIL	MTP	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
28	C4	false	12	Sym	UNKNOWN	SYBR	None	25.763	25.566	0.278								true	0.185	true	3	21	Amp		0.934	N	N	N	N	N	N	87.582			
29	C5	false	42	Cam	UNKNOWN	SYBR	None	22.961	23.167	0.291								true	0.040	true	3	20	Amp		0.911	N	N	Y	N	N	N	74.677			
30	C6	false	42	Cam	UNKNOWN	SYBR	None	23.373	23.167	0.291								true	0.040	true	3	20	Amp		0.949	N	N	Y	N	N	N	74.527			
31	C7	false	42	Sym	UNKNOWN	SYBR	None	23.137	23.037	0.141								true	0.185	true	3	18	Amp		0.965	N	N	N	N	N	N	87.560			
32	C8	false	42	Sym	UNKNOWN	SYBR	None	22.937	23.037	0.141								true	0.185	true	3	18	Amp		0.963	N	N	N	N	N	N	87.411			
33	C9	false	55	Cam	UNKNOWN	SYBR	None	23.286	23.097	0.268								true	0.040	true	3	20	Amp		0.897	N	N	Y	N	N	N	74.544			
34	C10	false	55	Cam	UNKNOWN	SYBR	None	22.907	23.097	0.268								true	0.040	true	3	20	Amp		0.923	N	N	Y	N	N	N	74.544			
35	C11	false	55	Sym	UNKNOWN	SYBR	None	23.382	23.298	0.118								true	0.185	true	3	18	Amp		0.969	N	N	N	N	N	N	87.414			
36	C12	false	55	Sym	UNKNOWN	SYBR	None	23.215	23.298	0.118								true	0.185	true	3	18	Amp		0.960	N	N	N	N	N	N	87.414			
37	D1	false	15	Cam	UNKNOWN	SYBR	None	26.443	27.358	1.293								true	0.040	true	3	23	Amp		0.772	Y	N	Y	N	Y	N	74.528			
38	D2	false	15	Cam	UNKNOWN	SYBR	None	28.272	27.358	1.293								true	0.040	true	3	23	No Amp		0.371	Y	N	Y	Y	Y	N	74.528	82.316		
39	D3	false	15	Sym	UNKNOWN	SYBR	None	24.322	24.007	0.446								true	0.185	true	3	19	Amp		0.969	N	N	N	N	N	N	87.432			
40	D4	false	15	Sym	UNKNOWN	SYBR	None	23.692	24.007	0.446								true	0.185	true	3	19	Amp		0.971	N	N	N	N	N	N	87.432			
