* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 02-23-2023
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 02-23-2023
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-23-2023
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 02-23-2023
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 02-23-2023
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-23-2023
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 02-23-2023
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 02-23-2023
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-23-2023
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-23-2023
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-23-2023
* Chemistry = SYBR_GREEN
* Date Created = 2023-03-08 17:40:30 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\Acropora22_proj\EDS files\acer_20230308.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2023-03-08 16:27:12 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	MTP	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
1	A1	false	265	CAM	UNKNOWN	SYBR	None	33.619	33.619									false	0.020	true	3	32	Inconclusive		0.911	N	Y	N	N	76.574	81.289		
2	A2	false	265	CAM	UNKNOWN	SYBR	None	Undetermined	33.619									false	0.020	true	3	39	No Amp		0.000	N	N	Y	Y	63.341			
3	A3	false	265	SYM	UNKNOWN	SYBR	None	37.532	34.983	3.605								false	0.020	true	3	35	No Amp		0.482	Y	Y	Y	N	86.671	79.963	92.463	76.152
4	A4	false	265	SYM	UNKNOWN	SYBR	None	32.433	34.983	3.605								false	0.020	true	3	31	Inconclusive		0.936	Y	N	N	N	81.640			
5	A5	false	288	CAM	UNKNOWN	SYBR	None	23.541	23.487	0.076								false	0.020	true	3	21	Amp		0.520	N	N	Y	N	75.354			
6	A6	false	288	CAM	UNKNOWN	SYBR	None	23.434	23.487	0.076								false	0.020	true	3	20	Amp		0.580	N	N	Y	N	75.354			
7	A7	false	288	SYM	UNKNOWN	SYBR	None	21.878	22.450	0.809								false	0.020	true	3	20	Amp		0.495	Y	N	Y	N	87.985			
8	A8	false	288	SYM	UNKNOWN	SYBR	None	23.022	22.450	0.809								false	0.020	true	3	20	Amp		0.549	Y	N	Y	N	87.985			
9	A9	false	441	CAM	UNKNOWN	SYBR	None	21.349	21.070	0.396								false	0.020	true	3	19	Amp		0.721	N	N	Y	N	75.400			
10	A10	false	441	CAM	UNKNOWN	SYBR	None	20.790	21.070	0.396								false	0.020	true	3	18	Amp		0.640	N	N	Y	N	75.400			
11	A11	false	441	SYM	UNKNOWN	SYBR	None	20.195	20.233	0.054								false	0.020	true	3	18	Amp		0.550	N	N	Y	N	87.846			
12	A12	false	441	SYM	UNKNOWN	SYBR	None	20.272	20.233	0.054								false	0.020	true	3	19	Amp		0.507	N	N	Y	N	87.694			
13	B1	false	60	CAM	UNKNOWN	SYBR	None	22.674	22.626	0.068								false	0.020	true	3	21	Amp		0.706	N	N	Y	N	75.205			
14	B2	false	60	CAM	UNKNOWN	SYBR	None	22.578	22.626	0.068								false	0.020	true	3	21	Amp		0.620	N	N	Y	N	75.357			
