* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-01-24 14:05:59 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\Acropora22_proj\EDS files\Acer_20221201.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-12-01 16:01:20 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	DRNMIN	NOAMP	MTP	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
27	C3	false	12	SYM	UNKNOWN	SYBR	None	22.638	22.762	0.176								false	0.020	true	3	21	Amp		0.957	N	N	N	N	N	N	87.582			
28	C4	false	12	SYM	UNKNOWN	SYBR	None	22.887	22.762	0.176								false	0.020	true	3	21	Amp		0.934	N	N	N	N	N	N	87.582			
29	C5	false	42	CAM	UNKNOWN	SYBR	None	22.102	22.305	0.286								false	0.020	true	3	20	Amp		0.911	N	N	N	N	N	N	74.677			
30	C6	false	42	CAM	UNKNOWN	SYBR	None	22.507	22.305	0.286								false	0.020	true	3	20	Amp		0.949	N	N	N	N	N	N	74.527			
31	C7	false	42	SYM	UNKNOWN	SYBR	None	20.205	20.083	0.172								false	0.020	true	3	18	Amp		0.881	N	N	N	N	N	N	87.560			
32	C8	false	42	SYM	UNKNOWN	SYBR	None	19.961	20.083	0.172								false	0.020	true	3	18	Amp		0.783	N	N	N	N	Y	N	87.411			
33	C9	false	55	CAM	UNKNOWN	SYBR	None	22.609	22.254	0.502								false	0.020	true	3	20	Amp		0.897	Y	N	N	N	N	N	74.544			
34	C10	false	55	CAM	UNKNOWN	SYBR	None	21.899	22.254	0.502								false	0.020	true	3	20	Amp		0.923	Y	N	N	N	N	N	74.544			
35	C11	false	55	SYM	UNKNOWN	SYBR	None	20.339	20.162	0.251								false	0.020	true	3	18	Amp		0.843	N	N	N	N	N	N	87.414			
36	C12	false	55	SYM	UNKNOWN	SYBR	None	19.985	20.162	0.251								false	0.020	true	3	18	Amp		0.704	N	N	N	N	Y	N	87.414			
37	D1	false	15	CAM	UNKNOWN	SYBR	None	25.538	26.299	1.076								false	0.020	true	3	23	Amp		0.772	Y	N	N	N	Y	N	74.528			
38	D2	false	15	CAM	UNKNOWN	SYBR	None	27.060	26.299	1.076								false	0.020	true	3	23	No Amp		0.562	Y	N	N	Y	Y	N	74.528	82.316		
39	D3	false	15	SYM	UNKNOWN	SYBR	None	21.442	21.139	0.429								false	0.020	true	3	19	Amp		0.972	N	N	N	N	N	N	87.432			
40	D4	false	15	SYM	UNKNOWN	SYBR	None	20.836	21.139	0.429								false	0.020	true	3	19	Amp		0.929	N	N	N	N	N	N	87.432			
41	D5	false	46	CAM	UNKNOWN	SYBR	None	24.559	24.174	0.544								false	0.020	true	3	22	Amp		0.834	Y	N	N	N	N	N	74.527			
42	D6	false	46	CAM	UNKNOWN	SYBR	None	23.789	24.174	0.544								false	0.020	true	3	22	Amp		0.875	Y	N	N	N	N	N	74.527			
43	D7	false	46	SYM	UNKNOWN	SYBR	None	20.659	20.937	0.393								false	0.020	true	3	18	Amp		0.816	N	N	N	N	N	N	87.411			
44	D8	false	46	SYM	UNKNOWN	SYBR	None	21.215	20.937	0.393								false	0.020	true	3	19	Amp		0.960	N	N	N	N	N	N	87.411			
45	D9	false	167	CAM	UNKNOWN	SYBR	None	22.297	21.838	0.649								false	0.020	true	3	20	Amp		0.914	Y	N	N	N	N	N	74.544			
46	D10	false	167	CAM	UNKNOWN	SYBR	None	21.380	21.838	0.649								false	0.020	true	3	19	Amp		0.929	Y	N	N	N	N	N	74.544			
47	D11	false	167	SYM	UNKNOWN	SYBR	None	21.612	21.346	0.376								false	0.020	true	3	19	Amp		0.952	N	N	N	N	N	N	87.264			
48	D12	false	167	SYM	UNKNOWN	SYBR	None	21.080	21.346	0.376								false	0.020	true	3	19	Amp		0.904	N	N	N	N	N	N	87.414			
49	E1	false	23	CAM	UNKNOWN	SYBR	None	24.352	25.062	1.003								false	0.020	true	3	22	Amp		0.931	Y	N	N	N	N	N	74.528			
50	E2	false	23	CAM	UNKNOWN	SYBR	None	25.771	25.062	1.003								false	0.020	true	3	24	Amp		0.652	Y	N	N	N	Y	N	74.528			
51	E3	false	23	SYM	UNKNOWN	SYBR	None	20.962	20.981	0.027								false	0.020	true	3	19	Amp		0.935	N	N	N	N	N	N	87.432			
52	E4	false	23	SYM	UNKNOWN	SYBR	None	21.001	20.981	0.027								false	0.020	true	3	19	Amp		0.939	N	N	N	N	N	N	87.432			
53	E5	false	51	CAM	UNKNOWN	SYBR	None	26.113	26.314	0.284								false	0.020	true	3	24	Amp		0.625	N	N	N	N	Y	N	74.527			
54	E6	false	51	CAM	UNKNOWN	SYBR	None	26.515	26.314	0.284								false	0.020	true	3	24	Amp		0.510	N	N	N	N	Y	N	74.677			
55	E7	false	51	SYM	UNKNOWN	SYBR	None	20.848	20.772	0.108								false	0.020	true	3	19	Amp		0.895	N	N	N	N	N	N	87.411			
56	E8	false	51	SYM	UNKNOWN	SYBR	None	20.696	20.772	0.108								false	0.020	true	3	19	Amp		0.875	N	N	N	N	N	N	87.411			
