* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-02-15 14:12:11 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\Acropora22_proj\EDS files\acer_20230215_1.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = Not Started
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	MTP	NOISE	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
28	C4	false	37	SYM	UNKNOWN	SYBR	None	20.492	20.199	0.414								false	0.020	true	3	19	Amp		0.555	N	N	N	Y	N	87.753			
29	C5	false	159	CAM	UNKNOWN	SYBR	None	19.301	19.917	0.870								false	0.020	true	3	17	Amp		0.572	Y	N	N	Y	N	75.363			
30	C6	false	159	CAM	UNKNOWN	SYBR	None	20.532	19.917	0.870								false	0.020	true	3	18	Amp		0.714	Y	N	N	Y	N	75.363			
31	C7	false	159	SYM	UNKNOWN	SYBR	None	20.770	20.357	0.585								false	0.020	true	3	18	Amp		0.820	Y	N	N	N	N	87.852			
32	C8	false	159	SYM	UNKNOWN	SYBR	None	19.943	20.357	0.585								false	0.020	true	3	17	Amp		0.524	Y	N	N	Y	N	87.700			
33	C9	false	384	CAM	UNKNOWN	SYBR	None	19.582	19.492	0.126								false	0.020	true	3	17	Amp		0.654	N	N	N	Y	N	75.252			
34	C10	false	384	CAM	UNKNOWN	SYBR	None	19.403	19.492	0.126								false	0.020	true	3	17	Amp		0.598	N	N	N	Y	N	75.405			
35	C11	false	384	SYM	UNKNOWN	SYBR	None	18.875	18.873	0.003								false	0.020	true	3	17	Amp		0.563	N	N	N	Y	N	87.720			
36	C12	false	384	SYM	UNKNOWN	SYBR	None	18.871	18.873	0.003								false	0.020	true	3	16	Amp		0.572	N	N	N	Y	N	87.720			
37	D1	false	42	CAM	UNKNOWN	SYBR	None	20.850	20.718	0.188								false	0.020	true	3	18	Amp		0.553	N	N	N	Y	N	75.220			
38	D2	false	42	CAM	UNKNOWN	SYBR	None	20.585	20.718	0.188								false	0.020	true	3	18	Amp		0.555	N	N	N	Y	N	75.372			
39	D3	false	42	SYM	UNKNOWN	SYBR	None	19.717	19.690	0.038								false	0.020	true	3	18	Amp		0.537	N	N	N	Y	N	87.753			
40	D4	false	42	SYM	UNKNOWN	SYBR	None	19.663	19.690	0.038								false	0.020	true	3	18	Amp		0.551	N	N	N	Y	N	87.753			
41	D5	false	160	CAM	UNKNOWN	SYBR	None	19.558	19.777	0.310								false	0.020	true	3	17	Amp		0.592	N	N	N	Y	N	75.363			
