* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-01-26 12:51:03 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\Downloads\acer_20230125.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2023-01-25 12:30:59 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	PRFLOW	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
29	C5	false	256	CAM	UNKNOWN	SYBR	None	22.230	22.073	0.222								false	0.020	true	3	20	Amp		0.654	N	N	Y	N	75.200			
30	C6	false	256	CAM	UNKNOWN	SYBR	None	21.916	22.073	0.222								false	0.020	true	3	20	Amp		0.595	N	N	Y	N	75.200			
31	C7	false	256	SYM	UNKNOWN	SYBR	None	19.901	19.917	0.023								false	0.020	true	3	17	Amp		0.484	N	N	Y	N	87.684			
32	C8	false	256	SYM	UNKNOWN	SYBR	None	19.933	19.917	0.023								false	0.020	true	3	18	Amp		0.419	N	N	Y	N	87.684			
33	C9	false	228	CAM	UNKNOWN	SYBR	None	21.535	21.724	0.268								false	0.020	true	3	19	Amp		0.637	N	N	Y	N	75.096			
34	C10	false	228	CAM	UNKNOWN	SYBR	None	21.914	21.724	0.268								false	0.020	true	3	20	Amp		0.682	N	N	Y	N	75.249			
35	C11	false	228	SYM	UNKNOWN	SYBR	None	20.702	20.769	0.094								false	0.020	true	3	18	Amp		0.510	N	N	Y	N	87.543			
36	C12	false	228	SYM	UNKNOWN	SYBR	None	20.836	20.769	0.094								false	0.020	true	3	19	Amp		0.491	N	N	Y	N	87.543			
37	D1	false	261	CAM	UNKNOWN	SYBR	None	22.283	22.008	0.390								false	0.020	true	3	20	Amp		0.684	N	N	Y	N	75.052			
38	D2	false	261	CAM	UNKNOWN	SYBR	None	21.732	22.008	0.390								false	0.020	true	3	19	Amp		0.525	N	N	Y	N	75.204			
39	D3	false	261	SYM	UNKNOWN	SYBR	None	19.141	19.196	0.079								false	0.020	true	3	17	Amp		0.579	N	N	Y	N	87.739			
40	D4	false	261	SYM	UNKNOWN	SYBR	None	19.252	19.196	0.079								false	0.020	true	3	17	Amp		0.649	N	N	Y	N	87.587			
41	D5	false	257	CAM	UNKNOWN	SYBR	None	22.898	22.765	0.188								false	0.020	true	3	20	Amp		0.590	N	N	Y	N	75.200			
42	D6	false	257	CAM	UNKNOWN	SYBR	None	22.632	22.765	0.188								false	0.020	true	3	20	Amp		0.582	N	N	Y	N	75.200			
43	D7	false	257	SYM	UNKNOWN	SYBR	None	19.952	19.904	0.068								false	0.020	true	3	18	Amp		0.459	N	N	Y	N	87.684			
44	D8	false	257	SYM	UNKNOWN	SYBR	None	19.855	19.904	0.068								false	0.020	true	3	17	Amp		0.542	N	N	Y	N	87.684			
45	D9	false	245	CAM	UNKNOWN	SYBR	None	21.782	21.843	0.085								false	0.020	true	3	20	Amp		0.635	N	N	Y	N	75.096			
46	D10	false	245	CAM	UNKNOWN	SYBR	None	21.903	21.843	0.085								false	0.020	true	3	20	Amp		0.575	N	N	Y	N	75.096			
47	D11	false	245	SYM	UNKNOWN	SYBR	None	19.523	19.182	0.483								false	0.020	true	3	18	Amp		0.591	N	N	Y	N	87.543			
48	D12	false	245	SYM	UNKNOWN	SYBR	None	18.841	19.182	0.483								false	0.020	true	3	16	Amp		0.403	N	N	Y	N	87.543			
49	E1	false	231	CAM	UNKNOWN	SYBR	None	21.876	22.091	0.303								false	0.020	true	3	20	Amp		0.520	N	N	Y	N	75.052			
50	E2	false	231	CAM	UNKNOWN	SYBR	None	22.305	22.091	0.303								false	0.020	true	3	20	Amp		0.628	N	N	Y	N	75.204			
51	E3	false	231	SYM	UNKNOWN	SYBR	None	18.286	18.391	0.148								false	0.020	true	3	16	Amp		0.398	N	N	Y	N	87.587			
52	E4	false	231	SYM	UNKNOWN	SYBR	None	18.496	18.391	0.148								false	0.020	true	3	17	Amp		0.524	N	N	Y	N	87.587			
57	E9	false	242	CAM	UNKNOWN	SYBR	None	22.966	23.436	0.664								false	0.020	true	3	21	Amp		0.512	Y	N	Y	N	75.096			
58	E10	false	242	CAM	UNKNOWN	SYBR	None	23.905	23.436	0.664								false	0.020	true	3	21	Amp		0.787	Y	N	Y	N	75.096			
59	E11	false	242	SYM	UNKNOWN	SYBR	None	19.492	19.873	0.539								false	0.020	true	3	17	Amp		0.570	Y	N	Y	N	87.543			
60	E12	false	242	SYM	UNKNOWN	SYBR	None	20.254	19.873	0.539								false	0.020	true	3	19	Amp		0.613	Y	N	Y	N	87.543			
