* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = TAQMAN
* Date Created = 2022-11-14 13:15:53 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\Standard Curve_01.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2022-10-25 18:23:54 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	HIGHSD	SPIKE	NOAMP	BADROX	PRFLOW	PRFDROP	NOISE	EXPFAIL
31	C7	false	442	Cam	UNKNOWN	SYBR	None	20.071	20.096	0.036								true	0.203	true	3	14	Amp		N	N	N	N	N	N	N	N
32	C8	false	442	Cam	UNKNOWN	SYBR	None	20.121	20.096	0.036								true	0.203	true	3	15	Amp		N	N	N	N	N	N	N	N
33	C9	false	442	Pax	UNKNOWN	SYBR	None	19.893	20.017	0.175								true	0.315	true	3	15	Amp		N	N	N	N	N	N	N	N
34	C10	false	442	Pax	UNKNOWN	SYBR	None	20.141	20.017	0.175								true	0.315	true	3	13	Amp		N	N	N	N	N	N	N	N
35	C11	false	442	Sym	UNKNOWN	SYBR	None	22.183	22.063	0.169								true	0.281	true	3	16	Amp		N	N	N	N	N	N	N	N
36	C12	false	442	Sym	UNKNOWN	SYBR	None	21.943	22.063	0.169								true	0.281	true	3	16	Amp		N	N	N	N	N	N	N	N
37	D1	false	13	Cam	UNKNOWN	SYBR	None	24.592	24.552	0.056								true	0.203	true	3	19	Amp		N	N	N	N	N	N	N	N
38	D2	false	13	Cam	UNKNOWN	SYBR	None	24.512	24.552	0.056								true	0.203	true	3	19	Amp		N	N	N	N	N	N	N	N
39	D3	false	13	Pax	UNKNOWN	SYBR	None	24.106	24.388	0.398								true	0.315	true	3	18	Amp		N	N	N	N	N	N	N	N
40	D4	false	13	Pax	UNKNOWN	SYBR	None	24.669	24.388	0.398								true	0.315	true	3	19	Amp		N	N	N	N	N	N	N	N
41	D5	false	13	Sym	UNKNOWN	SYBR	None	22.756	22.290	0.660								true	0.281	true	3	17	Amp		Y	N	N	N	N	N	N	N
42	D6	false	13	Sym	UNKNOWN	SYBR	None	21.823	22.290	0.660								true	0.281	true	3	16	Amp		Y	N	N	N	N	N	N	N
43	D7	false	438	Cam	UNKNOWN	SYBR	None	22.339	22.396	0.081								true	0.203	true	3	18	Amp		N	N	N	N	N	N	N	N
44	D8	false	438	Cam	UNKNOWN	SYBR	None	22.453	22.396	0.081								true	0.203	true	3	18	Amp		N	N	N	N	N	N	N	N
45	D9	false	438	Pax	UNKNOWN	SYBR	None	22.256	22.400	0.205								true	0.315	true	3	17	Amp		N	N	N	N	N	N	N	N
46	D10	false	438	Pax	UNKNOWN	SYBR	None	22.545	22.400	0.205								true	0.315	true	3	17	Amp		N	N	N	N	N	N	N	N
47	D11	false	438	Sym	UNKNOWN	SYBR	None	23.795	23.802	0.011								true	0.281	true	3	18	Amp		N	N	N	N	N	N	N	N
48	D12	false	438	Sym	UNKNOWN	SYBR	None	23.810	23.802	0.011								true	0.281	true	3	18	Amp		N	N	N	N	N	N	N	N
49	E1	false	21	Cam	UNKNOWN	SYBR	None	26.344	26.280	0.090								true	0.203	true	3	20	Amp		N	N	N	N	N	N	N	N
50	E2	false	21	Cam	UNKNOWN	SYBR	None	26.216	26.280	0.090								true	0.203	true	3	21	Amp		N	N	N	N	N	N	N	N
