* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 02-23-2023
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 02-23-2023
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-23-2023
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 02-23-2023
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 02-23-2023
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-23-2023
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 02-23-2023
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 02-23-2023
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-23-2023
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-23-2023
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-23-2023
* Chemistry = TAQMAN
* Date Created = 2023-03-08 14:18:36 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\sm_20230308.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2023-03-08 12:47:39 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	NOAMP	EXPFAIL	HIGHSD
19	B7	false	51	D	UNKNOWN	FAM	NFQ-MGB	34.641	34.641									false	0.020	true	3	31	Inconclusive		N	N	N
20	B8	false	51	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		Y	Y	N
20	B8	false	51	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	34.641									false	0.020	true	3	39	No Amp		N	Y	N
21	B9	false	64	C	UNKNOWN	VIC	NFQ-MGB	35.302	36.707	1.987								false	0.020	true	3	33	Amp		N	N	Y
21	B9	false	64	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
22	B10	false	64	C	UNKNOWN	VIC	NFQ-MGB	38.112	36.707	1.987								false	0.020	true	3	35	Inconclusive		N	N	Y
22	B10	false	64	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
23	B11	false	72	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.445									false	0.020	true	3	39	No Amp		Y	Y	N
23	B11	false	72	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	32.871									false	0.020	true	3	39	No Amp		N	Y	N
24	B12	false	72	C	UNKNOWN	VIC	NFQ-MGB	36.445	36.445									false	0.020	true	3	35	Amp		N	N	N
24	B12	false	72	D	UNKNOWN	FAM	NFQ-MGB	32.871	32.871									false	0.020	true	3	31	Amp		N	N	N
25	C1	false	25	C	UNKNOWN	VIC	NFQ-MGB	34.843	34.366	0.674								false	0.020	true	3	32	Amp		N	N	Y
25	C1	false	25	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
26	C2	false	25	C	UNKNOWN	VIC	NFQ-MGB	33.889	34.366	0.674								false	0.020	true	3	32	Amp		N	N	Y
26	C2	false	25	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
